Activation function,RUN,Epochs
bipolar,1,5
bipolar,2,5
bipolar,3,4
bipolar,4,4
bipolar,5,5
bipolar,6,3
bipolar,7,5
bipolar,8,4
bipolar,9,4
bipolar,10,4
bipolar,11,4
bipolar,12,4
bipolar,13,5
bipolar,14,4
bipolar,15,5
bipolar,16,5
bipolar,17,5
bipolar,18,4
bipolar,19,3
bipolar,20,4
bipolar,21,4
bipolar,22,4
bipolar,23,3
bipolar,24,4
bipolar,25,3
bipolar,26,4
bipolar,27,5
bipolar,28,5
bipolar,29,4
bipolar,30,3
bipolar,31,3
bipolar,32,3
bipolar,33,4
bipolar,34,4
bipolar,35,2
bipolar,36,3
bipolar,37,3
bipolar,38,6
bipolar,39,4
bipolar,40,3
bipolar,41,3
bipolar,42,3
bipolar,43,4
bipolar,44,4
bipolar,45,4
bipolar,46,3
bipolar,47,5
bipolar,48,3
bipolar,49,3
bipolar,50,5
bipolar,51,5
bipolar,52,5
bipolar,53,3
bipolar,54,5
bipolar,55,5
bipolar,56,3
bipolar,57,5
bipolar,58,3
bipolar,59,4
bipolar,60,3
bipolar,61,4
bipolar,62,4
bipolar,63,5
bipolar,64,4
bipolar,65,4
bipolar,66,4
bipolar,67,4
bipolar,68,3
bipolar,69,3
bipolar,70,3
bipolar,71,4
bipolar,72,5
bipolar,73,3
bipolar,74,4
bipolar,75,4
bipolar,76,6
bipolar,77,5
bipolar,78,5
bipolar,79,4
bipolar,80,5
bipolar,81,5
bipolar,82,4
bipolar,83,4
bipolar,84,4
bipolar,85,3
bipolar,86,2
bipolar,87,5
bipolar,88,3
bipolar,89,5
bipolar,90,2
bipolar,91,3
bipolar,92,3
bipolar,93,3
bipolar,94,5
bipolar,95,5
bipolar,96,4
bipolar,97,3
bipolar,98,4
bipolar,99,3
bipolar,100,3
unipolar,1,9
unipolar,2,4
unipolar,3,7
unipolar,4,9
unipolar,5,7
unipolar,6,7
unipolar,7,9
unipolar,8,5
unipolar,9,7
unipolar,10,9
unipolar,11,7
unipolar,12,7
unipolar,13,7
unipolar,14,5
unipolar,15,7
unipolar,16,9
unipolar,17,8
unipolar,18,5
unipolar,19,9
unipolar,20,8
unipolar,21,5
unipolar,22,6
unipolar,23,4
unipolar,24,7
unipolar,25,6
unipolar,26,6
unipolar,27,5
unipolar,28,8
unipolar,29,6
unipolar,30,4
unipolar,31,10
unipolar,32,7
unipolar,33,6
unipolar,34,7
unipolar,35,5
unipolar,36,9
unipolar,37,6
unipolar,38,8
unipolar,39,7
unipolar,40,5
unipolar,41,8
unipolar,42,3
unipolar,43,5
unipolar,44,6
unipolar,45,6
unipolar,46,5
unipolar,47,5
unipolar,48,3
unipolar,49,8
unipolar,50,5
unipolar,51,5
unipolar,52,8
unipolar,53,9
unipolar,54,7
unipolar,55,3
unipolar,56,8
unipolar,57,9
unipolar,58,7
unipolar,59,5
unipolar,60,8
unipolar,61,8
unipolar,62,5
unipolar,63,8
unipolar,64,10
unipolar,65,10
unipolar,66,6
unipolar,67,7
unipolar,68,6
unipolar,69,7
unipolar,70,5
unipolar,71,6
unipolar,72,6
unipolar,73,7
unipolar,74,7
unipolar,75,8
unipolar,76,6
unipolar,77,8
unipolar,78,6
unipolar,79,10
unipolar,80,8
unipolar,81,6
unipolar,82,9
unipolar,83,5
unipolar,84,6
unipolar,85,6
unipolar,86,3
unipolar,87,7
unipolar,88,7
unipolar,89,7
unipolar,90,8
unipolar,91,9
unipolar,92,10
unipolar,93,6
unipolar,94,10
unipolar,95,6
unipolar,96,5
unipolar,97,8
unipolar,98,4
unipolar,99,7
unipolar,100,3
